ip.len,ip.flags.df,ip.flags.mf,tcp.port,tcp.window_size,tcp.ack_raw,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size.1,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,udp.length,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,gtp.ext_hdr,gtp.ext_hdr.length,gtp.ext_hdr.pdu_ses_con.pdu_type,gtp.ext_hdr.pdu_ses_con.qos_flow_id,gtp.ext_hdr.pdu_ses_cont.ppp,gtp.ext_hdr.pdu_ses_cont.rqi,gtp.flags,gtp.flags.e,gtp.flags.payload,gtp.flags.pn,gtp.flags.reserved,gtp.flags.s,gtp.flags.version,gtp.length,gtp.message,gtp.teid,label
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,8510,8,0.179109,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,1,0,42962.0,0.0,3249338149.0,0.0,0.0,0.0,64,17,64128.0,529.0,75.0,0.0,84.0,0.0,16,0.001586,0.0,0.0,0.0,2152,76,142.220184,0.001586,0.32941,0.001586,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,60,255,142,0
96,1,0,35796.0,0.0,1572182018.0,0.0,0.0,0.0,64,17,64128.0,529.0,75.0,0.0,285.0,0.0,17,0.0,0.0,0.0,0.0,2152,76,477.792898,0.00109,0.058839,0.00109,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,60,255,142,0
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,6641,8,0.150587,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,6243,8,0.128866,0.000107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,80,1236.750113,0.970921,0.0,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,64,255,142,0
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,2614,8,0.047961,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,2601,8,0.046502,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,1,0,40430.0,0.0,2258908436.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,0.0,991.0,0.0,16,0.001926,0.0,0.0,0.0,2152,76,1669.977382,0.001926,0.146622,0.001926,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,60,255,146,0
84,1,0,80.0,0.0,610907184.0,0.0,0.0,0.0,64,17,4194304.0,72.0,1.0,0.0,498.0,0.0,16,0.043653,0.0,0.0,0.0,2152,64,835.893144,0.043653,0.089114,0.043653,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,48,255,1,0
99,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,79,1536.737775,3.633437,0.0,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,63,255,146,0
84,1,0,50834.0,0.0,2711866762.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,0.0,205.0,0.0,16,0.002095,0.0,0.0,0.0,2152,64,354.021103,0.002095,0.046274,0.002095,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,48,255,138,0
181,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,161,10.542275,0.002028,0.0,0.0,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,145,255,1,0
104,1,0,80.0,0.0,131883133.0,0.0,0.0,0.0,64,17,65535.0,1.0,0.0,0.0,351.0,0.0,18,0.013773,0.0,0.0,0.0,2152,84,589.758872,0.013773,0.013773,0.013773,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,68,255,1,0
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,7929,8,0.164735,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,1,0,59094.0,0.0,2862693830.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,71.0,658.0,0.0,24,0.0,0.0,0.0,1.0,2152,135,1107.521449,0.0,0.045503,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,119,255,138,0
84,1,0,80.0,0.0,2022471820.0,0.0,0.0,0.0,64,17,4194304.0,73.0,224.0,0.0,667.0,0.0,17,0.0,0.0,0.0,0.0,2152,64,1122.988323,0.000199,0.138617,0.000199,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,48,255,1,0
96,1,0,80.0,0.0,1149824576.0,0.0,0.0,0.0,64,17,65536.0,76.0,529.0,0.0,650.0,0.0,17,0.014554,0.0,0.0,0.0,2152,76,1094.179663,0.014554,0.078103,0.014554,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,60,255,1,0
100,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,80,1083.867019,1.882424,0.0,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,64,255,142,0
162,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,142,815.297996,0.00064,0.0,0.0,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,126,255,1,0
99,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,79,388.327566,0.000128,0.0,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,63,255,146,0
372,1,0,80.0,0.0,441852055.0,0.0,0.0,0.0,64,17,29056.0,74.0,1.0,276.0,283.0,0.0,24,0.0,0.0,0.0,0.0,2152,352,474.322475,0.001105,0.289102,0.001105,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,336,255,1,0
